# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00009839
   -9.88988989    0.00009993
   -9.77977978    0.00010151
   -9.66966967    0.00010314
   -9.55955956    0.00010480
   -9.44944945    0.00010651
   -9.33933934    0.00010827
   -9.22922923    0.00011008
   -9.11911912    0.00011194
   -9.00900901    0.00011386
   -8.89889890    0.00011583
   -8.78878879    0.00011785
   -8.67867868    0.00011994
   -8.56856857    0.00012209
   -8.45845846    0.00012430
   -8.34834835    0.00012659
   -8.23823824    0.00012894
   -8.12812813    0.00013137
   -8.01801802    0.00013388
   -7.90790791    0.00013646
   -7.79779780    0.00013914
   -7.68768769    0.00014190
   -7.57757758    0.00014476
   -7.46746747    0.00014771
   -7.35735736    0.00015077
   -7.24724725    0.00015394
   -7.13713714    0.00015722
   -7.02702703    0.00016062
   -6.91691692    0.00016414
   -6.80680681    0.00016780
   -6.69669670    0.00017160
   -6.58658659    0.00017555
   -6.47647648    0.00017965
   -6.36636637    0.00018392
   -6.25625626    0.00018836
   -6.14614615    0.00019299
   -6.03603604    0.00019781
   -5.92592593    0.00020284
   -5.81581582    0.00020809
   -5.70570571    0.00021357
   -5.59559560    0.00021930
   -5.48548549    0.00022530
   -5.37537538    0.00023158
   -5.26526527    0.00023816
   -5.15515516    0.00024507
   -5.04504505    0.00025232
   -4.93493493    0.00025995
   -4.82482482    0.00026797
   -4.71471471    0.00027642
   -4.60460460    0.00028532
   -4.49449449    0.00029473
   -4.38438438    0.00030467
   -4.27427427    0.00031519
   -4.16416416    0.00032634
   -4.05405405    0.00033818
   -3.94394394    0.00035075
   -3.83383383    0.00036413
   -3.72372372    0.00037840
   -3.61361361    0.00039363
   -3.50350350    0.00040992
   -3.39339339    0.00042737
   -3.28328328    0.00044610
   -3.17317317    0.00046625
   -3.06306306    0.00048797
   -2.95295295    0.00051143
   -2.84284284    0.00053683
   -2.73273273    0.00056440
   -2.62262262    0.00059440
   -2.51251251    0.00062713
   -2.40240240    0.00066295
   -2.29229229    0.00070226
   -2.18218218    0.00074555
   -2.07207207    0.00079337
   -1.96196196    0.00084639
   -1.85185185    0.00090539
   -1.74174174    0.00097132
   -1.63163163    0.00104529
   -1.52152152    0.00112863
